qc_id,medidor,ilicito,mt,anom_slect,anom_clect,comentario,fecha,hora,lat y,lon x,icon_url
"445",w386hw,NO,NO,NA,NA,,2021/11/01,12:41:40,25.68328,-100.34187,./0.png
"446",w476hw,NO,NO,NA,NA,ok,2021/11/01,12:38:03,25.68345,-100.34191,./0.png
"447",x469yb,NO,NO,NA,NA,ok,2021/11/01,12:38:54,25.68292,-100.34356,./0.png
"448",x475x8,NO,NO,NA,NA,,2021/11/01,1:21:18,25.67724,-100.34037,./0.png
"449",x581pm,NO,NO,NA,NA,,2021/11/01,1:51:53,25.67771,-100.33875,./0.png
"450",x727yb,NO,NO,NA,C5-SinSello,,2021/11/01,1:00:35,25.68193,-100.34259,./0.png
"451",x763nt,NO,NO,NA,NA,,2021/11/01,12:38:50,25.68378,-100.3426,./0.png
"452",x7y689,NO,NO,NA,NA,,2021/11/01,1:10:30,25.68225,-100.34347,./0.png
"453",x9934u,NO,NO,NA,NA,,2021/11/01,2:30:52,25.67771,-100.33806,./0.png
"454",y0899l,NO,NO,NA,NA,,2021/11/01,12:49:59,25.68323,-100.34194,./0.png
"455",y139hb,NO,NO,NA,C5-SinSello,,2021/11/01,12:56:17,25.68221,-100.34237,./0.png
"456",y143hb,NO,NO,NA,C5-SinSello,,2021/11/01,12:56:02,25.68221,-100.34237,./0.png
"457",y24r62,NO,NO,NA,NA,,2021/11/01,12:37:29,25.68378,-100.34254,./0.png
"458",y2725f,NO,NO,NA,NA,,2021/11/01,12:35:19,25.68402,-100.34264,./0.png
"459",y357gm,NO,NO,NA,NA,,2021/11/01,12:44:27,25.68344,-100.34144,./0.png
"460",y4a866,NO,NO,NA,NA,,2021/11/01,1:26:57,25.67713,-100.33978,./0.png
"461",y5434e,NO,NO,NA,NA,,2021/11/01,1:03:03,25.68211,-100.34311,./0.png
